TTN--RN7SL1
AL627171.2--ALK
ALK--AL627171.2
ALK--RN7SL2
AC132217.2--TTN
KANSL1--ARL17A
KANSL1--ARL17B
SMG1--NPIPB5
NAIP--OCLN
TMEM132D--ISCA1
LINC00545--MEDAG
PAX7--FOXO1
PAX7--AL133318.1
SETBP1--AL357509.1
ARHGAP26--RN7SL1
ERBB2--MEG3
RN7SL1--ARHGAP26
AL627171.2--RALGAPB
PIP4K2B--RN7SL1
AL627171.2--EXOC7
FBXO25--FAM157B
NLRP2--RPL36A
TOP2A--RN7SL1
AC079030.1--SCARA5
MIR100HG--NEAT1
SPSB4--PXYLP1
MNAT1--SLC38A6
MTUS2--ARHGEF10L
SETD7--SORBS2
CHRNB2--PLA2G12AP2
CHRNB2--ANKRD26P2
ANAPC10--HHIP
ANAPC10--ANAPC10
DCHS1--ACTR1B
STAT4--HDAC4
TTC3--VAPB
PGM5P2--SEMA5A
